46.50,26.00,268.25,65.25
46.63,26.50,268.75,64.75
46.25,25.75,266.00,65.00
45.88,25.00,266.38,64.00
45.50,25.75,271.00,64.37
45.63,25.25,276.50,65.50
46.75,24.62,280.25,64.87
46.00,25.00,275.50,63.50
45.13,25.00,273.25,63.25
46.13,25.50,281.00,65.12
46.50,25.50,288.50,65.87
46.75,25.62,288.50,65.87
46.63,27.87,290.00,66.37
46.38,28.12,291.75,67.00
45.63,27.00,291.75,67.00
46.00,26.37,297.00,66.62
46.88,29.00,299.25,67.75
47.63,29.37,306.75,69.25
48.25,29.87,307.13,70.12
48.63,29.00,305.75,70.25
48.63,27.00,298.25,69.37
47.75,27.87,296.13,67.50
47.63,28.25,290.25,66.75
47.38,27.37,292.00,66.62
48.00,28.37,291.50,67.62
48.63,27.62,293.00,69.25
48.63,27.00,290.75,69.87
47.63,25.25,284.50,68.12
47.25,25.75,291.13,68.50
48.00,26.62,288.88,68.75
47.63,27.25,288.00,68.87
48.00,27.62,295.00,69.75
47.13,26.62,289.75,69.12
47.00,26.37,291.00,69.37
47.50,26.12,296.50,69.62
47.75,26.62,298.50,69.75
48.13,26.50,294.00,69.50
47.88,27.25,299.75,69.50
48.25,26.75,296.13,70.00
48.00,26.62,296.25,70.25
48.00,27.00,292.63,69.25
48.38,25.62,294.00,69.00
48.25,26.25,297.50,68.75
48.25,25.62,299.00,68.62
48.50,25.75,297.25,69.12
48.50,25.00,297.13,68.75
48.13,25.25,293.13,68.12
48.00,25.00,293.25,66.62
48.00,24.75,292.88,66.75
47.75,24.87,290.50,67.00
47.75,25.37,291.00,67.87
47.38,26.62,296.50,69.00
47.63,25.37,299.00,69.75
48.00,25.12,300.00,71.00
48.88,25.25,299.00,71.50
50.00,25.37,308.50,72.00
51.00,25.50,307.25,72.37
50.88,25.12,308.00,71.75
51.00,26.50,314.00,71.87
51.00,26.00,311.50,72.00
51.13,27.87,311.75,72.87
51.50,29.25,316.00,72.37
51.88,29.00,316.25,72.37
52.50,29.25,317.25,71.62
52.63,29.75,317.50,72.37
53.13,30.25,317.00,72.25
52.50,29.75,310.75,71.87
52.38,29.50,311.00,70.25
52.25,30.00,313.00,70.00
53.13,30.75,313.00,70.87
53.13,29.37,315.50,71.50
53.38,28.75,317.25,71.50
53.00,28.50,316.00,71.12
53.63,29.00,312.50,71.00
53.75,29.00,315.00,71.00
53.75,29.25,318.50,71.50
54.25,29.12,320.25,72.50
54.75,29.62,319.50,73.00
54.50,30.00,317.75,73.37
53.50,29.75,313.00,72.62
53.63,30.25,316.25,72.50
53.88,30.75,318.00,72.12
54.13,30.50,316.25,72.00
54.25,30.87,314.50,71.00
54.00,31.50,312.50,70.00
53.25,31.75,315.75,69.50
50.88,32.13,315.63,67.87
51.00,32.38,314.50,68.12
51.00,33.25,310.00,67.50
51.75,32.75,311.75,68.00
52.25,33.00,312.75,68.37
52.38,32.63,314.75,68.87
52.50,32.88,315.50,69.37
53.00,33.25,316.50,70.25
52.25,33.88,321.75,70.00
52.00,34.50,326.00,69.87
51.88,34.25,322.50,69.50
52.13,33.63,317.50,69.62
53.25,33.88,325.50,70.62
54.00,34.13,327.25,72.00
52.88,34.50,327.75,71.12
53.38,35.38,328.63,70.75
52.63,35.63,330.50,70.25
53.25,35.88,336.50,70.75
53.38,35.63,340.75,71.00
52.63,36.88,338.50,71.75
52.88,36.75,337.25,72.50
52.88,36.25,338.75,71.87
54.00,37.38,339.50,72.25
54.25,36.00,341.63,74.37
54.63,36.63,336.50,74.75
54.75,36.00,329.25,74.87
54.75,35.88,328.25,74.50
54.25,35.50,330.50,74.25
53.75,36.13,335.25,74.50
54.25,36.38,338.25,74.50
55.75,35.88,334.00,75.87
54.88,35.75,336.50,75.12
55.00,36.25,339.00,74.62
55.63,36.25,338.00,75.00
56.00,36.00,337.25,75.50
56.25,37.38,340.75,77.75
57.88,40.13,345.50,78.12
58.00,39.75,348.50,78.00
58.00,38.63,349.00,76.87
57.75,39.88,348.75,75.75
58.00,39.75,347.75,76.25
58.00,41.75,354.00,76.37
58.88,42.63,363.50,77.37
59.38,44.88,362.50,78.00
58.50,44.13,363.50,77.75
58.25,43.38,361.00,77.25
57.50,42.13,360.63,76.87
57.25,41.38,358.50,77.00
58.00,41.00,355.75,77.62
57.25,40.63,355.00,77.37
56.75,41.50,356.00,76.87
56.88,40.50,358.00,77.62
56.25,39.63,356.50,78.00
56.25,39.00,357.00,79.00
56.50,39.25,357.50,79.75
56.38,38.63,356.00,79.50
56.50,38.75,358.00,79.37
57.13,38.00,360.75,80.37
58.63,38.88,361.13,80.75
59.63,39.50,361.00,80.50
59.63,40.38,356.75,81.25
60.13,41.38,357.00,81.87
59.63,41.88,358.00,81.75
59.50,40.75,358.75,81.25
60.50,40.13,356.25,81.75
61.63,40.00,352.00,81.25
62.88,40.00,354.00,81.37
62.50,38.63,356.00,80.50
62.13,38.50,353.00,80.25
62.00,39.25,352.00,80.62
62.75,39.75,355.00,80.87
62.00,39.13,356.00,81.00
61.63,39.38,358.00,80.25
62.13,40.50,361.25,80.50
62.50,40.00,362.00,80.25
62.88,39.50,357.75,79.62
62.13,39.13,353.25,78.37
61.50,39.63,353.50,78.25
61.50,39.75,353.00,78.12
61.00,40.13,351.75,78.00
60.50,39.75,347.00,78.37
60.50,39.00,344.75,78.12
61.00,38.38,342.25,78.12
60.88,38.50,342.50,78.87
59.63,38.38,340.25,78.37
58.88,38.25,335.50,78.50
58.25,36.50,334.00,77.75
58.00,37.50,338.00,77.75
58.13,39.00,342.00,78.00
58.50,40.38,348.00,77.50
58.00,39.88,344.00,77.12
57.25,38.88,341.00,76.50
56.50,39.13,337.00,76.12
56.63,39.13,337.25,75.37
56.88,39.13,334.00,74.75
56.63,39.13,327.00,75.87
57.38,40.00,328.75,76.00
58.13,40.25,326.50,76.75
58.88,40.50,321.25,77.75
60.00,40.88,324.25,77.00
59.63,41.38,317.75,77.25
59.13,42.00,312.50,76.75
58.38,42.25,318.25,77.50
58.63,42.88,321.50,78.37
58.63,42.75,324.50,77.75
58.63,42.38,318.63,77.75
58.63,42.88,321.50,78.00
57.50,43.13,323.50,78.12
56.88,43.13,321.00,77.87
56.25,42.63,315.50,76.12
54.75,39.88,314.00,74.87
55.13,39.88,314.75,74.50
55.00,41.00,315.25,74.37
55.63,40.88,313.00,74.62
56.13,40.88,311.25,74.75
56.00,40.25,311.75,74.62
56.38,39.75,314.00,75.00
56.88,39.75,317.00,75.37
56.38,40.00,317.75,75.75
56.63,39.38,319.00,76.12
56.88,39.38,316.50,75.87
56.50,39.38,311.50,76.62
56.88,40.50,311.25,78.62
57.25,39.75,316.00,78.62
57.13,40.63,315.00,79.25
56.63,40.50,302.00,77.75
57.00,40.63,300.00,78.25
56.88,41.25,298.00,78.37
57.00,41.00,294.50,78.12
57.13,40.50,296.50,78.25
57.50,41.00,299.00,78.50
57.25,41.00,301.75,78.75
57.13,39.88,299.50,78.75
57.75,38.88,298.00,79.37
58.75,39.00,296.75,79.00
58.00,38.75,292.75,78.12
57.75,37.38,299.50,77.12
57.88,36.75,296.75,76.37
57.00,38.50,291.25,76.50
57.13,38.75,293.75,76.75
56.75,37.38,290.00,75.37
55.75,37.38,287.00,74.75
55.88,37.88,287.00,74.12
55.63,37.88,285.50,73.62
55.13,37.75,284.00,72.75
55.00,37.75,286.00,73.12
55.25,38.75,291.25,73.87
55.75,39.88,296.75,75.75
55.38,39.38,295.00,73.87
54.50,42.00,314.00,70.50
54.13,41.63,315.75,71.62
53.13,41.38,310.25,70.62
52.00,41.25,307.00,70.12
52.00,40.13,309.00,70.00
53.50,41.38,314.75,71.12
55.00,42.00,318.25,71.75
55.75,41.38,314.75,72.25
55.00,41.25,314.00,72.25
54.50,41.00,315.50,71.00
54.25,39.63,310.13,70.62
53.88,38.75,304.00,70.87
54.75,37.25,301.50,70.75
54.88,37.63,299.50,71.00
55.63,38.75,307.75,71.37
56.25,38.25,310.00,72.75
56.00,38.25,310.50,73.75
55.38,38.88,306.38,74.00
54.50,41.13,305.25,73.50
55.13,41.00,300.00,73.12
55.63,39.38,299.75,72.12
55.63,40.38,303.00,72.25
55.25,40.63,301.00,72.12
55.75,41.25,300.75,71.75
55.63,41.13,304.00,71.37
55.50,41.75,305.50,70.87
55.00,42.88,307.75,69.87
55.50,42.75,305.00,69.50
55.25,43.00,304.75,68.75
55.13,42.50,303.88,68.00
55.25,43.13,304.25,69.62
55.50,44.13,302.75,70.62
56.13,44.63,303.75,72.00
