5225,10237,36475,6200
5250,10537,36825,6300
5175,10425,36850,6288
5163,10450,36875,6250
5263,10550,36950,6263
5275,10650,36900,6288
5238,10825,36775,6238
5163,10800,37413,6213
5000,10775,37375,6225
4988,10975,38150,6163
4988,10875,36975,6188
4975,10737,35000,6188
4925,10975,35650,6163
4888,10975,35500,6150
4900,10950,35600,6113
4875,10762,35600,6025
4838,10600,34850,6038
4825,10400,34525,6000
4663,10275,34100,5813
4650,10112,33850,5688
4613,10025,33519,5638
4600,10037,34300,5600
4563,9950,34325,5713
4600,9825,34325,5700
4600,9637,33875,5688
4575,10075,34475,5550
4563,10025,34975,5525
4325,10012,34600,5325
4425,10100,35500,5363
4325,10162,35200,5225
4350,10125,34900,5200
4400,10425,34925,5038
4375,10375,34975,5013
4488,10450,35125,5288
4538,9725,35200,5363
4600,9725,34950,5513
4600,9800,34450,5488
4750,9900,34500,5575
4800,9900,34425,5413
4750,9975,34025,5400
4663,9512,33550,5350
4638,9475,33325,5325
4600,9550,32975,5350
4575,9462,32925,5400
4613,9425,32525,5350
4588,9087,31675,5288
4613,9175,32650,5388
4613,9162,32850,5488
4588,9125,32875,5463
4525,9125,32425,5463
4488,9100,32000,5450
4488,9325,32250,5450
4525,9337,32225,5500
4413,9187,32238,5500
4425,4525,31975,5525
4375,4425,32200,5513
4413,4400,32800,5600
4500,4475,33300,5725
4400,4475,33325,5738
4388,4413,33675,5775
4450,4425,33850,5725
4538,4538,33775,5750
4450,4513,33200,5750
4500,4488,32650,5775
4513,4188,32050,5738
4450,4100,32000,5625
4488,4188,32400,5625
4475,4188,32575,5650
4450,4288,33150,5600
4425,4275,32700,5588
4388,4313,32475,5588
4388,4213,32325,5600
4325,4088,32075,5525
4338,4050,32250,5413
4338,4025,32450,5375
4338,4000,32100,5425
4313,3838,31300,5450
4300,3838,30963,5450
4238,3938,30900,5438
4200,3875,30150,5375
4138,3900,29025,5363
4175,4350,30025,5400
4175,4100,29800,5363
4175,4125,29675,5400
4100,3813,28300,5375
4025,3650,28300,5375
4013,3538,28750,5438
4013,3513,28975,5350
4000,3450,29050,5300
3988,3438,28550,5275
3988,3400,28250,5250
3963,3263,27500,5163
4025,3350,26850,5188
4100,3313,27075,5350
4150,3238,27000,5400
4075,2837,25850,5288
4025,2737,25050,5275
3975,2837,24550,5250
3988,2762,24800,5263
3975,2662,24100,5125
3975,2750,24200,5138
4100,3050,25900,5325
4250,2912,26700,5525
4350,2887,27800,5675
4438,3162,28700,5688
4388,3313,28300,5688
4463,3225,28300,5688
4313,3012,27125,5563
4213,2825,27000,5450
4188,2800,26625,5438
